l1,time_zero,ot1,ot2,ot3,condition_sum,ospan,DELE_z
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,-1,0.025299152986328618,-0.8311195333186658
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,-1,0.025299152986328618,-0.8311195333186658
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,-1,0.025299152986328618,-0.8311195333186658
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,-1,0.025299152986328618,-0.8311195333186658
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,1,0.025299152986328618,-0.8311195333186658
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,1,0.025299152986328618,-0.8311195333186658
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,1,0.025299152986328618,-0.8311195333186658
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,1,0.025299152986328618,-0.8311195333186658
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,1,0.025299152986328618,-0.8311195333186658
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,1,0.025299152986328618,-0.8311195333186658
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,1,0.025299152986328618,-0.8311195333186658
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,1,0.025299152986328618,-0.8311195333186658
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,1,0.025299152986328618,-0.8311195333186658
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,1,0.025299152986328618,-0.8311195333186658
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,1,0.025299152986328618,-0.8311195333186658
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,1,0.025299152986328618,-0.8311195333186658
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,1,0.025299152986328618,-0.8311195333186658
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,1,0.025299152986328618,-0.8311195333186658
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,1,0.025299152986328618,-0.8311195333186658
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,1,0.025299152986328618,-0.8311195333186658
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,1,0.025299152986328618,-0.8311195333186658
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,1,0.025299152986328618,-1.2419043431602312
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,1,0.025299152986328618,-1.2419043431602312
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,1,0.025299152986328618,-1.2419043431602312
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,1,0.025299152986328618,-1.2419043431602312
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,1,0.025299152986328618,-1.2419043431602312
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,1,0.025299152986328618,-1.2419043431602312
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,1,0.025299152986328618,-1.2419043431602312
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,1,0.025299152986328618,-1.2419043431602312
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,1,0.025299152986328618,-1.2419043431602312
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,1,0.025299152986328618,-1.2419043431602312
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,1,0.025299152986328618,-1.2419043431602312
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,1,0.025299152986328618,-1.2419043431602312
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,1,0.025299152986328618,-1.2419043431602312
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,1,0.025299152986328618,-1.2419043431602312
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,1,0.025299152986328618,-1.2419043431602312
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,1,0.025299152986328618,-1.2419043431602312
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,1,0.025299152986328618,-1.2419043431602312
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,-1,0.025299152986328618,-1.2419043431602312
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,-1,0.025299152986328618,-1.2419043431602312
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,-1,0.025299152986328618,-1.2419043431602312
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,-1,0.025299152986328618,-1.2419043431602312
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,-1,0.025299152986328618,-1.2419043431602312
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,-1,0.025299152986328618,-1.2419043431602312
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,-1,0.025299152986328618,-1.2419043431602312
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,-1,0.025299152986328618,-1.2419043431602312
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,-1,0.025299152986328618,-1.2419043431602312
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,-1,0.025299152986328618,-1.2419043431602312
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,-1,0.025299152986328618,-1.2419043431602312
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,-1,0.025299152986328618,-1.2419043431602312
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,-1,0.025299152986328618,-1.2419043431602312
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,-1,0.025299152986328618,-1.2419043431602312
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,-1,0.025299152986328618,-1.2419043431602312
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,-1,0.025299152986328618,-1.2419043431602312
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,-1,0.025299152986328618,-1.2419043431602312
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,-1,-1.2070372004288503,-0.42033472347710044
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,-1,-1.2070372004288503,-0.42033472347710044
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,-1,-1.2070372004288503,-0.42033472347710044
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,-1,-1.2070372004288503,-0.42033472347710044
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,-1,-1.2070372004288503,-0.42033472347710044
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,-1,-1.2070372004288503,-0.42033472347710044
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,-1,-1.2070372004288503,-0.42033472347710044
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,-1,-1.2070372004288503,-0.42033472347710044
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,-1,-1.2070372004288503,-0.42033472347710044
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,-1,-1.2070372004288503,-0.42033472347710044
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,-1,-1.2070372004288503,-0.42033472347710044
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,-1,-1.2070372004288503,-0.42033472347710044
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,-1,-1.2070372004288503,-0.42033472347710044
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,-1,-1.2070372004288503,-0.42033472347710044
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,-1,-1.2070372004288503,-0.42033472347710044
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,-1,-1.2070372004288503,-0.42033472347710044
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,-1,-1.2070372004288503,-0.42033472347710044
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,1,-1.2070372004288503,-0.42033472347710044
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,1,-1.2070372004288503,-0.42033472347710044
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,1,-1.2070372004288503,-0.42033472347710044
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,1,-1.2070372004288503,-0.42033472347710044
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,1,-1.2070372004288503,-0.42033472347710044
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,1,-1.2070372004288503,-0.42033472347710044
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,1,-1.2070372004288503,-0.42033472347710044
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,1,-1.2070372004288503,-0.42033472347710044
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,1,-1.2070372004288503,-0.42033472347710044
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,1,-1.2070372004288503,-0.42033472347710044
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,1,-1.2070372004288503,-0.42033472347710044
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,1,-1.2070372004288503,-0.42033472347710044
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,1,-1.2070372004288503,-0.42033472347710044
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,1,-1.2070372004288503,-0.42033472347710044
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,1,-1.2070372004288503,-0.42033472347710044
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,1,-1.2070372004288503,-0.42033472347710044
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,1,-1.2070372004288503,-0.42033472347710044
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,-1,1.668414290873234,-0.8311195333186658
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,-1,1.668414290873234,-0.8311195333186658
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,-1,1.668414290873234,-0.8311195333186658
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,-1,1.668414290873234,-0.8311195333186658
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,-1,1.668414290873234,-0.8311195333186658
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,-1,1.668414290873234,-0.8311195333186658
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,-1,1.668414290873234,-0.8311195333186658
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,-1,1.668414290873234,-0.8311195333186658
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,-1,1.668414290873234,-0.8311195333186658
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,-1,1.668414290873234,-0.8311195333186658
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,-1,1.668414290873234,-0.8311195333186658
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,-1,1.668414290873234,-0.8311195333186658
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,-1,1.668414290873234,-0.8311195333186658
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,-1,1.668414290873234,-0.8311195333186658
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,-1,1.668414290873234,-0.8311195333186658
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,-1,1.668414290873234,-0.8311195333186658
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,-1,1.668414290873234,-0.8311195333186658
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,1,1.668414290873234,-0.8311195333186658
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,1,1.668414290873234,-0.8311195333186658
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,1,1.668414290873234,-0.8311195333186658
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,1,1.668414290873234,-0.8311195333186658
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,1,1.668414290873234,-0.8311195333186658
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,1,1.668414290873234,-0.8311195333186658
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,1,1.668414290873234,-0.8311195333186658
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,1,1.668414290873234,-0.8311195333186658
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,1,1.668414290873234,-0.8311195333186658
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,1,1.668414290873234,-0.8311195333186658
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,1,1.668414290873234,-0.8311195333186658
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,1,1.668414290873234,-0.8311195333186658
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,1,1.668414290873234,-0.8311195333186658
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,1,1.668414290873234,-0.8311195333186658
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,1,1.668414290873234,-0.8311195333186658
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,1,1.668414290873234,-0.8311195333186658
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,1,1.668414290873234,-0.8311195333186658
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,-1,-0.3854796314853977,-1.2419043431602312
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,-1,-0.3854796314853977,-1.2419043431602312
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,-1,-0.3854796314853977,-1.2419043431602312
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,-1,-0.3854796314853977,-1.2419043431602312
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,-1,-0.3854796314853977,-1.2419043431602312
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,-1,-0.3854796314853977,-1.2419043431602312
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,-1,-0.3854796314853977,-1.2419043431602312
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,-1,-0.3854796314853977,-1.2419043431602312
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,-1,-0.3854796314853977,-1.2419043431602312
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,-1,-0.3854796314853977,-1.2419043431602312
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,-1,-0.3854796314853977,-1.2419043431602312
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,-1,-0.3854796314853977,-1.2419043431602312
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,-1,-0.3854796314853977,-1.2419043431602312
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,-1,-0.3854796314853977,-1.2419043431602312
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,-1,-0.3854796314853977,-1.2419043431602312
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,-1,-0.3854796314853977,-1.2419043431602312
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,-1,-0.3854796314853977,-1.2419043431602312
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,1,-0.3854796314853977,-1.2419043431602312
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,1,-0.3854796314853977,-1.2419043431602312
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,1,-0.3854796314853977,-1.2419043431602312
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,1,-0.3854796314853977,-1.2419043431602312
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,1,-0.3854796314853977,-1.2419043431602312
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,1,-0.3854796314853977,-1.2419043431602312
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,1,-0.3854796314853977,-1.2419043431602312
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,1,-0.3854796314853977,-1.2419043431602312
ma,4,3.2978537999661915e-17,-0.27258651025455277,0,1,-0.3854796314853977,-1.2419043431602312
ma,5,0.04950737714883375,-0.26122873899394644,-0.11243619908556621,1,-0.3854796314853977,-1.2419043431602312
ma,6,0.09901475429766744,-0.22715542521212734,-0.20881008401605144,1,-0.3854796314853977,-1.2419043431602312
ma,7,0.1485221314465012,-0.1703665689090955,-0.27305934063637505,1,-0.3854796314853977,-1.2419043431602312
ma,8,0.1980295085953349,-0.09086217008485095,-0.28912165479145596,1,-0.3854796314853977,-1.2419043431602312
ma,9,0.2475368857441686,0.011357771260606365,-0.24093471232621333,1,-0.3854796314853977,-1.2419043431602312
ma,10,0.29704426289300234,0.13629325512727639,-0.11243619908556628,1,-0.3854796314853977,-1.2419043431602312
ma,11,0.3465516400418361,0.2839442815151591,0.11243619908556612,1,-0.3854796314853977,-1.2419043431602312
ma,12,0.39605901719066977,0.45431085042425473,0.4497447963422649,1,-0.3854796314853977,-1.2419043431602312
ma,-4,-0.39605901719066977,0.45431085042425456,-0.4497447963422652,-1,-1.6178159849005767,-1.7553853554621879
ma,-3,-0.346551640041836,0.2839442815151591,-0.11243619908556568,-1,-1.6178159849005767,-1.7553853554621879
ma,-2,-0.2970442628930023,0.1362932551272763,0.11243619908556605,-1,-1.6178159849005767,-1.7553853554621879
ma,-1,-0.24753688574416854,0.011357771260606326,0.24093471232621314,-1,-1.6178159849005767,-1.7553853554621879
ma,0,-0.19802950859533483,-0.09086217008485097,0.28912165479145596,-1,-1.6178159849005767,-1.7553853554621879
ma,1,-0.14852213144650112,-0.1703665689090955,0.27305934063637505,-1,-1.6178159849005767,-1.7553853554621879
ma,2,-0.0990147542976674,-0.22715542521212734,0.2088100840160515,-1,-1.6178159849005767,-1.7553853554621879
ma,3,-0.04950737714883369,-0.26122873899394644,0.11243619908556625,-1,-1.6178159849005767,-1.7553853554621879
